doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ou-scholarship-regulation,data/hoc-bong-crawl/ou-scholarship-regulation.md,Học bổng Khuyến khích học tập OU,https://ou.edu.vn/hocbong/hbkhhtdhcq/,2026-09-19,not-stated,public-source
huit-scholarship-regulation,data/hoc-bong-crawl/huit-scholarship-regulation.md,Học bổng khuyến khích học tập HUIT,https://hocphi.huit.edu.vn/hoc-bong-khuyen-khich-hoc-tap,2026-09-19,not-stated,public-source
ussh-basic-sciences-scholarship,data/hoc-bong-crawl/ussh-basic-sciences-scholarship.md,Quy định tiêu chí xét cấp học bổng cho 9 ngành khoa học cơ bản USSH,https://ysip.vnu.edu.vn/hoc-bong-dai-hoc/quy-dinh-ve-tieu-chi-xet-cap-hoc-bong-cho-9-nganh-khoa-hoc-co-ban-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn.html,2026-09-19,not-stated,public-source
uet-scholarship-announcement-2025-2026,data/hoc-bong-crawl/uet-scholarship-announcement-2025-2026.md,Cấp học bổng khuyến khích học tập học kỳ I năm học 2025-2026 UET,https://uet.edu.vn/cap-hoc-bong-khuyen-khich-hoc-tap-trong-hoc-ky-i-nam-hoc-2025-2026-cho-sinh-vien/,2026-09-19,2025-2026,public-source
usth-scholarship-regulation-2026-2027,data/hoc-bong-crawl/usth-scholarship-regulation-2026-2027.md,Quy định học bổng cho sinh viên USTH năm học 2026-2027,https://usth.edu.vn/quy-dinh-hoc-bong-cho-sinh-vien-usth-nam-hoc-2026-2027-30184/,2026-09-19,2026-2027,public-source
ueh-scholarship-hkc2025,data/hoc-bong-crawl/ueh-scholarship-hkc2025.md,Về việc xét học bổng Khuyến khích học tập - HKC2025 UEH,https://dsa.ueh.edu.vn/tin-tuc/hb-kkht-hkc2025/,2026-09-19,2025,public-source
